AÑO,MES,DIA,FECHA,HORA,KW-H
2015,5,jueves,7,8,3400
2015,5,jueves,7,9,3400
2015,5,jueves,7,10,2400
2015,5,jueves,7,11,2400
2015,5,jueves,7,12,2200
2015,5,jueves,7,13,2200
2015,5,jueves,7,14,2000
2015,5,jueves,7,15,2000
2015,5,jueves,7,16,2000
2015,5,jueves,7,17,2000
2015,5,jueves,7,18,2000
2015,5,jueves,7,19,2000
2015,5,jueves,7,20,2000
2015,5,jueves,7,21,2000
2015,5,jueves,7,22,2000
2015,5,jueves,7,23,1800
2015,5,viernes,8,0,1800
2015,5,viernes,8,1,2100
2015,5,viernes,8,2,2400
2015,5,viernes,8,3,2400
2015,5,viernes,8,4,2800
2015,5,viernes,8,5,2800
2015,5,viernes,8,6,3400
2015,5,viernes,8,7,3400
2015,5,viernes,8,8,3400
2015,5,viernes,8,9,2500
2015,5,viernes,8,10,2500
2015,5,viernes,8,11,2500
2015,5,viernes,8,12,0
2015,5,viernes,8,13,0
2015,5,viernes,8,14,0
2015,5,viernes,8,15,2200
2015,5,viernes,8,16,3300
2015,5,viernes,8,17,3300
2015,5,viernes,8,18,3000
2015,5,viernes,8,19,3800
2015,5,viernes,8,20,3900
2015,5,viernes,8,21,3900
2015,5,viernes,8,22,3900
2015,5,viernes,8,23,3300
2015,5,sábado,9,0,2500
2015,5,sábado,9,1,200
2015,5,sábado,9,2,3000
2015,5,sábado,9,3,4000
2015,5,sábado,9,4,4000
2015,5,sábado,9,5,4000
2015,5,sábado,9,6,4000
2015,5,sábado,9,7,3300
2015,5,sábado,9,8,3200
2015,5,sábado,9,9,3000
2015,5,sábado,9,10,3300
2015,5,sábado,9,11,4200
2015,5,sábado,9,12,4000
2015,5,sábado,9,13,3900
2015,5,sábado,9,14,3900
2015,5,sábado,9,15,1300
2015,5,sábado,9,16,2700
2015,5,sábado,9,17,2700
2015,5,sábado,9,18,3600
2015,5,sábado,9,19,3600
2015,5,sábado,9,20,3600
2015,5,sábado,9,21,3600
2015,5,sábado,9,22,3000
2015,5,sábado,9,23,3000
2015,5,domingo,10,0,3000
2015,5,domingo,10,1,3000
2015,5,domingo,10,2,3000
2015,5,domingo,10,3,3000
2015,5,domingo,10,4,3000
2015,5,domingo,10,5,3600
2015,5,domingo,10,6,3600
2015,5,domingo,10,7,3400
2015,5,domingo,10,8,3400
2015,5,domingo,10,9,3400
2015,5,domingo,10,10,3400
2015,5,domingo,10,11,3400
2015,5,domingo,10,12,3400
2015,5,domingo,10,13,3400
2015,5,domingo,10,14,3400
2015,5,domingo,10,15,3000
2015,5,domingo,10,16,2600
2015,5,domingo,10,17,2200
2015,5,domingo,10,18,2200
2015,5,domingo,10,19,2600
2015,5,domingo,10,20,3200
2015,5,domingo,10,21,3300
2015,5,domingo,10,22,3400
2015,5,domingo,10,23,3400
2015,5,lunes,11,0,3400
2015,5,lunes,11,1,3400
2015,5,lunes,11,2,3400
2015,5,lunes,11,3,3400
2015,5,lunes,11,4,3400
2015,5,lunes,11,5,3400
2015,5,lunes,11,6,3400
2015,5,lunes,11,7,3400
2015,5,lunes,11,8,3200
2015,5,lunes,11,9,2800
2015,5,lunes,11,10,2800
2015,5,lunes,11,11,2800
2015,5,lunes,11,12,3300
2015,5,lunes,11,13,3300
2015,5,lunes,11,14,3200
2015,5,lunes,11,15,3200
2015,5,lunes,11,16,3200
2015,5,lunes,11,17,3200
2015,5,lunes,11,18,3500
2015,5,lunes,11,19,3500
2015,5,lunes,11,20,3500
2015,5,lunes,11,21,3500
2015,5,lunes,11,22,3500
2015,5,lunes,11,23,3500
2015,5,martes,12,0,3500
2015,5,martes,12,1,3600
2015,5,martes,12,2,3600
2015,5,martes,12,3,3600
2015,5,martes,12,4,3600
2015,5,martes,12,5,3600
2015,5,martes,12,6,3700
2015,5,martes,12,7,3500
2015,5,martes,12,8,3300
2015,5,martes,12,9,2000
2015,5,martes,12,10,1100
2015,5,martes,12,11,1100
2015,5,martes,12,12,1100
2015,5,martes,12,13,1100
2015,5,martes,12,14,1100
2015,5,martes,12,15,3400
2015,5,martes,12,16,4100
2015,5,martes,12,17,4400
2015,5,martes,12,18,4400
2015,5,martes,12,19,4400
2015,5,martes,12,20,4400
2015,5,martes,12,21,4400
2015,5,martes,12,22,4400
2015,5,martes,12,23,4400
2015,5,miercoles,13,0,4400
2015,5,miercoles,13,1,4400
2015,5,miercoles,13,2,4400
2015,5,miercoles,13,3,4400
2015,5,miercoles,13,4,4400
2015,5,miercoles,13,5,4400
2015,5,miercoles,13,6,4400
2015,5,miercoles,13,7,4400
2015,5,miercoles,13,8,4300
2015,5,miercoles,13,9,3200
2015,5,miercoles,13,10,3900
2015,5,miercoles,13,11,4200
2015,5,miercoles,13,12,4300
2015,5,miercoles,13,13,4300
2015,5,miercoles,13,14,4300
2015,5,miercoles,13,15,4400
2015,5,miercoles,13,16,4200
2015,5,miercoles,13,17,4300
2015,5,miercoles,13,18,4300
2015,5,miercoles,13,19,4300
2015,5,miercoles,13,20,4300
2015,5,miercoles,13,21,4300
2015,5,miercoles,13,22,4300
2015,5,miercoles,13,23,4300
2015,5,jueves,14,0,4300
2015,5,jueves,14,1,4300
2015,5,jueves,14,2,4300
2015,5,jueves,14,3,4300
2015,5,jueves,14,4,4300
2015,5,jueves,14,5,4300
2015,5,jueves,14,6,4300
2015,5,jueves,14,7,4300
2015,5,jueves,14,8,4100
2015,5,jueves,14,9,4300
2015,5,jueves,14,10,4300
2015,5,jueves,14,11,4100
2015,5,jueves,14,12,4200
2015,5,jueves,14,13,3800
2015,5,jueves,14,14,3800
2015,5,jueves,14,15,4000
2015,5,jueves,14,16,4200
2015,5,jueves,14,17,4300
2015,5,jueves,14,18,4300
2015,5,jueves,14,19,4300
2015,5,jueves,14,20,4200
2015,5,jueves,14,21,4200
2015,5,jueves,14,22,4200
2015,5,jueves,14,23,4200
2015,5,viernes,15,0,4200
2015,5,viernes,15,1,4300
2015,5,viernes,15,2,4100
2015,5,viernes,15,3,4000
2015,5,viernes,15,4,4100
2015,5,viernes,15,5,4200
2015,5,viernes,15,6,4200
2015,5,viernes,15,7,4200
2015,5,viernes,15,8,4200
2015,5,viernes,15,9,3500
2015,5,viernes,15,10,3100
2015,5,viernes,15,11,3100
2015,5,viernes,15,12,3200
2015,5,viernes,15,13,3300
2015,5,viernes,15,14,3800
2015,5,viernes,15,15,3900
2015,5,viernes,15,16,3900
2015,5,viernes,15,17,3900
2015,5,viernes,15,18,3900
2015,5,viernes,15,19,4100
2015,5,viernes,15,20,4100
2015,5,viernes,15,21,4100
2015,5,viernes,15,22,4100
2015,5,viernes,15,23,3800
2015,5,sábado,16,0,3600
2015,5,sábado,16,1,3700
2015,5,sábado,16,2,3500
2015,5,sábado,16,3,3500
2015,5,sábado,16,4,2500
2015,5,sábado,16,5,2500
2015,5,sábado,16,6,2500
2015,5,sábado,16,7,2500
2015,5,sábado,16,8,2400
2015,5,sábado,16,9,2500
2015,5,sábado,16,10,2500
2015,5,sábado,16,11,2500
2015,5,sábado,16,12,2500
2015,5,sábado,16,13,2500
2015,5,sábado,16,14,2500
2015,5,sábado,16,15,2500
2015,5,sábado,16,16,2600
2015,5,sábado,16,17,2600
2015,5,sábado,16,18,2600
2015,5,sábado,16,19,2600
2015,5,sábado,16,20,2600
2015,5,sábado,16,21,2600
2015,5,sábado,16,22,2600
2015,5,sábado,16,23,2600
2015,5,domingo,17,0,2600
2015,5,domingo,17,1,2600
2015,5,domingo,17,2,2600
2015,5,domingo,17,3,2600
2015,5,domingo,17,4,2600
2015,5,domingo,17,5,2600
2015,5,domingo,17,6,2600
2015,5,domingo,17,7,2600
2015,5,domingo,17,8,2200
2015,5,domingo,17,9,2600
2015,5,domingo,17,10,2600
2015,5,domingo,17,11,2600
2015,5,domingo,17,12,2600
2015,5,domingo,17,13,2600
2015,5,domingo,17,14,2600
2015,5,domingo,17,15,2600
2015,5,domingo,17,16,2600
2015,5,domingo,17,17,2600
2015,5,domingo,17,18,2600
2015,5,domingo,17,19,2600
2015,5,domingo,17,20,2600
2015,5,domingo,17,21,2600
2015,5,domingo,17,22,2600
2015,5,domingo,17,23,2600
2015,5,lunes,18,0,2600
