AÑO,MES,DIA,FECHA,HORA,KW-H
2015,1,miercoles,21,0,2800
2015,1,miercoles,21,1,3400
2015,1,miercoles,21,2,3400
2015,1,miercoles,21,3,3400
2015,1,miercoles,21,4,3400
2015,1,miercoles,21,5,3400
2015,1,miercoles,21,6,3400
2015,1,miercoles,21,7,3400
2015,1,miercoles,21,8,2900
2015,1,miercoles,21,9,3500
2015,1,miercoles,21,10,3500
2015,1,miercoles,21,11,3500
2015,1,miercoles,21,12,2500
2015,1,miercoles,21,13,2500
2015,1,miercoles,21,14,2700
2015,1,miercoles,21,15,2700
2015,1,miercoles,21,16,2900
2015,1,miercoles,21,17,2800
2015,1,miercoles,21,18,2200
2015,1,miercoles,21,19,3400
2015,1,miercoles,21,20,3400
2015,1,miercoles,21,21,3400
2015,1,miercoles,21,22,2800
2015,1,miercoles,21,23,2600
2015,1,jueves,22,0,2600
2015,1,jueves,22,1,3000
2015,1,jueves,22,2,3000
2015,1,jueves,22,3,3000
2015,1,jueves,22,4,3000
2015,1,jueves,22,5,3000
2015,1,jueves,22,6,3400
2015,1,jueves,22,7,3400
2015,1,jueves,22,8,3400
2015,1,jueves,22,9,3600
2015,1,jueves,22,10,4100
2015,1,jueves,22,11,4200
2015,1,jueves,22,12,4200
2015,1,jueves,22,13,4100
2015,1,jueves,22,14,4100
2015,1,jueves,22,15,4100
2015,1,jueves,22,16,4100
2015,1,jueves,22,17,4100
2015,1,jueves,22,18,4200
2015,1,jueves,22,19,4200
2015,1,jueves,22,20,4200
2015,1,jueves,22,21,4200
2015,1,jueves,22,22,4200
2015,1,jueves,22,23,4200
2015,1,viernes,23,0,4200
2015,1,viernes,23,1,4000
2015,1,viernes,23,2,4000
2015,1,viernes,23,3,4000
2015,1,viernes,23,4,4000
2015,1,viernes,23,5,4000
2015,1,viernes,23,6,4400
2015,1,viernes,23,7,4500
2015,1,viernes,23,8,4300
2015,1,viernes,23,9,4000
2015,1,viernes,23,10,3200
2015,1,viernes,23,11,3200
2015,1,viernes,23,12,3200
2015,1,viernes,23,13,3200
2015,1,viernes,23,14,3200
